file,run_order,solvent_type
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_01.mzML,30,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_02.mzML,31,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_03.mzML,32,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_04.mzML,33,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_05.mzML,34,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_06.mzML,35,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_07.mzML,36,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_ACN_08.mzML,37,ACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_empty_newMB_05.mzML,1,empty 
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_empty_newMB_06.mzML,2,empty 
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_empty_newMB_07.mzML,3,empty 
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_empty_newMB_08.mzML,4,empty 
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_empty_newMB_09.mzML,5,empty 
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_H2OACN_01.mzML,14,H2OACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_H2OACN_02.mzML,15,H2OACN
C:/Users/Benutzer1/OneDrive/Desktop/vial_carryover_raw/mzml/20240312_BZ_VH_IQX_Lx_pos_BEH_30_2_24mins_MS1_H2OACN_03.mzML,16,H2OACN
